,Full Name,Population
0,"Warsaw, Poland",1702139
1,"Łódź, Poland",768755
2,"Kraków, Poland",755050
3,"Lisbon, Portugal",517802
4,"Porto, Portugal",249633
5,"Amadora, Portugal",178858
6,"Bucharest, Romania",1877155
7,"Sector 3, Romania",385439
8,"Iaşi, Romania",378954
9,"Stockholm, Sweden",1515017
10,"Göteborg, Sweden",587549
11,"Malmö, Sweden",351749
12,"Ljubljana, Slovenia",272220
13,"Maribor, Slovenia",97019
14,"Kranj, Slovenia",37941
15,"Bratislava, Slovakia",423737
16,"Košice, Slovakia",228249
17,"Nitra, Slovakia",86329
18,"Serravalle, San Marino",9258
19,"Borgo Maggiore, San Marino",6424
20,"San Marino, San Marino",4500
21,"Istanbul, Turkey",14804116
22,"Ankara, Turkey",3517182
23,"Bursa, Turkey",3101833
24,"Belgrade, Serbia",1273651
25,"Niš, Serbia",250000
26,"Novi Sad, Serbia",215400
27,"Schaan, Liechtenstein",5748
28,"Vaduz, Liechtenstein",5197
29,"Triesen, Liechtenstein",4701
30,"Vilnius, Lithuania",542366
31,"Kaunas, Lithuania",289380
32,"Klaipėda, Lithuania",172292
33,"Luxembourg, Luxembourg",76684
34,"Esch-sur-Alzette, Luxembourg",28228
35,"Dudelange, Luxembourg",18013
36,"Riga, Latvia",742572
37,"Daugavpils, Latvia",111564
38,"Liepāja, Latvia",85132
39,"Chisinau, Moldova, Republic of",635994
40,"Tiraspol, Moldova, Republic of",157000
41,"Bălţi, Moldova, Republic of",125000
42,"Podgorica, Montenegro",236852
43,"Nikšić, Montenegro",58212
44,"Herceg Novi, Montenegro",19536
45,"Skopje, Macedonia, The former Yugoslav Rep. of",474889
46,"Kumanovo, Macedonia, The former Yugoslav Rep. of",75051
47,"Prilep, Macedonia, The former Yugoslav Rep. of",73814
48,"San Pawl il-Baħar, Malta",32042
49,"Birkirkara, Malta",24356
50,"Mosta, Malta",23482
51,"Amsterdam, Netherlands",741636
52,"Rotterdam, Netherlands",598199
53,"The Hague, Netherlands",474292
54,"Oslo, Norway",580000
55,"Bergen, Norway",285911
56,"Trondheim, Norway",212660
57,"Rome, Italy",2318895
58,"Milan, Italy",1371498
59,"Naples, Italy",909048
60,"Zagreb, Croatia",663592
61,"Split, Croatia",149830
62,"Rijeka, Croatia",107964
63,"Budapest, Hungary",1741041
64,"Debrecen, Hungary",202402
65,"Szeged, Hungary",160766
66,"Dublin, Ireland",1024027
67,"South Dublin, Ireland",278749
68,"Cork, Ireland",190384
69,"Douglas, Isle of Man",26218
70,"Ramsey, Isle of Man",7845
71,"Peel, Isle of Man",5374
72,"Brussels, Belgium",1019022
73,"Antwerpen, Belgium",529247
74,"Gent, Belgium",265086
75,"Sofia, Bulgaria",1152556
76,"Plovdiv, Bulgaria",346893
77,"Varna, Bulgaria",312770
78,"Minsk, Belarus",1742124
79,"Homyel', Belarus",526872
80,"Hrodna, Belarus",373547
81,"Andorra la Vella, Andorra",20430
82,"les Escaldes, Andorra",15853
83,"Encamp, Andorra",11223
84,"Tirana, Albania",418495
85,"Durrës, Albania",122034
86,"Elbasan, Albania",100903
87,"Vienna, Austria",1691468
88,"Graz, Austria",295424
89,"Linz, Austria",204846
90,"Zürich, Switzerland",341730
91,"Genève, Switzerland",183981
92,"Basel, Switzerland",164488
93,"Sarajevo, Bosnia and Herzegovina",696731
94,"Banja Luka, Bosnia and Herzegovina",221106
95,"Zenica, Bosnia and Herzegovina",164423
96,"Prague, Czech Republic",1165581
97,"Brno, Czech Republic",379466
98,"Ostrava, Czech Republic",279791
99,"Berlin, Germany",3426354
100,"Hamburg, Germany",1845229
101,"Munich, Germany",1260391
102,"Copenhagen, Denmark",1153615
103,"Århus, Denmark",285273
104,"Odense, Denmark",180863
105,"Tallinn, Estonia",394024
106,"Tartu, Estonia",91407
107,"Narva, Estonia",54409
108,"Madrid, Spain",3255944
109,"Barcelona, Spain",1620343
110,"Valencia, Spain",792492
111,"Helsinki, Finland",658864
112,"Espoo, Finland",256760
113,"Tampere, Finland",244315
114,"Paris, France",2138551
115,"Marseille, France",870731
116,"Lyon, France",522969
117,"London, United Kingdom",8961989
118,"Birmingham, United Kingdom",1144919
119,"Liverpool, United Kingdom",864122
120,"Glasgow, United Kingdom",626410
121,"Sheffield, United Kingdom",556500
122,"Leeds, United Kingdom",516298
123,"Edinburgh, United Kingdom",506520
124,"Bristol, United Kingdom",465866
125,"Cardiff, United Kingdom",447287
126,"Manchester, United Kingdom",395515
127,"Athens, Greece",664046
128,"Thessaloníki, Greece",317778
129,"Pátra, Greece",168034
130,"Kabbasin, Syrian Arab Republic",51230
131,"Monaco, Monaco",32965
132,"Monte-Carlo, Monaco",16012
133,"La Condamine, Monaco",12167
134,"Saint Peter Port, Guernsey",16488
135,"Saint Sampson, Guernsey",8966
136,"Castel, Guernsey",0
137,"Tsada - Tremithousa - Tala (Borders), Cyprus",0
138,"Saint Helier, Jersey",28000
139,"Saint John, Jersey",3051
140,"Le Hocq, Jersey",0
141,"Gibraltar, Gibraltar",26544
